model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
repulsion,bf_u0,0.680190595,0.003924035,0.673737788,0.686650158,500000,0.12802,4.66E-04,9,3561
non-monotonic_attraction,bf_0u,0.680646872,0.007493686,0.668663303,0.693109159,500000,0.025674,2.19E-04,5,2661
repulsion,bf_00',0.680726851,0.005288929,0.672029286,0.689522305,500000,0.06097,3.37E-04,5,1746
similarity,bf_u0,0.680851064,0.159308794,0.473205356,0.985760467,500000,9.40E-05,1.37E-05,5,2816
non-monotonic_attraction,bf_u0,0.680928605,0.006194084,0.670590421,0.69111512,500000,0.054878,3.24E-04,5,1441
repulsion,bf_0u,0.680942233,0.004884597,0.673143353,0.689016525,500000,0.059434,3.35E-04,5,3202
repulsion,bf_0u,0.68119772,0.004866395,0.673254023,0.689198114,500000,0.059286,3.32E-04,5,3531
attraction,bf_0u,0.68144249,0.004905338,0.673243403,0.689338142,500000,0.059032,3.33E-04,2,1773
attraction,bf_u0,0.681711331,0.003995984,0.675140252,0.68837347,500000,0.12762,4.75E-04,2,556
non-monotonic_repulsion,bf_00',0.682023866,0.007983303,0.668686274,0.694980534,500000,0.026062,2.26E-04,2,1656
repulsion,bf_u0,0.682049197,0.004017771,0.675652644,0.68890089,500000,0.127894,4.76E-04,5,2063
non-monotonic_attraction,bf_u0,0.682304016,0.006231604,0.67233664,0.692948854,500000,0.054826,3.22E-04,9,1172
attraction,bf_00',0.682586926,0.005150511,0.67404863,0.690830779,500000,0.061538,3.39E-04,2,2022
non-monotonic_attraction,bf_0u,0.682921714,0.007462808,0.670729279,0.695228657,500000,0.026048,2.26E-04,14,472
repulsion,bf_00',0.683050922,0.00519145,0.674668797,0.691897528,500000,0.061242,3.44E-04,2,3046
attraction,bf_0u,0.683088454,0.00499171,0.674776982,0.691271781,500000,0.059788,3.30E-04,2,1941
non-monotonic_attraction,bf_0u,0.683120178,0.007788986,0.67061398,0.696132691,500000,0.025852,2.26E-04,5,1856
repulsion,bf_00',0.683563121,0.005228471,0.675102007,0.692462157,500000,0.061502,3.43E-04,2,1733
attraction,bf_0u,0.683590521,0.00501246,0.675292312,0.692014754,500000,0.059538,3.35E-04,14,1531
repulsion,bf_00',0.684174069,0.005237014,0.675579576,0.692792665,500000,0.061652,3.38E-04,5,1403
non-monotonic_repulsion,bf_0u,0.68449481,0.0075096,0.672417985,0.697143384,500000,0.025852,2.27E-04,2,1273
repulsion,bf_0u,0.684754404,0.004953702,0.676646985,0.692826612,500000,0.060168,3.41E-04,5,746
non-monotonic_attraction,bf_00',0.684777389,0.007825383,0.672428305,0.698165503,500000,0.026598,2.28E-04,14,123
repulsion,bf_00',0.684866768,0.005312881,0.676211725,0.693480789,500000,0.06125,3.37E-04,14,1762
attraction,bf_u0,0.685141677,0.004076215,0.678355339,0.691754607,500000,0.126838,4.73E-04,2,556
non-monotonic_attraction,bf_00',0.685453615,0.007885697,0.672511638,0.698499108,500000,0.026316,2.25E-04,14,1342
non-monotonic_attraction,bf_u0,0.685516842,0.006239136,0.675005522,0.695768671,500000,0.055278,3.30E-04,14,1373
non-monotonic_repulsion,bf_0u,0.686101515,0.007664268,0.673605962,0.699088072,500000,0.025818,2.28E-04,2,3672
non-monotonic_attraction,bf_0u,0.68612329,0.007770044,0.673339585,0.69871804,500000,0.025978,2.27E-04,14,1136
similarity,bf_00',0.686252547,0.155428751,0.470601971,0.980344923,500000,7.00E-05,1.21E-05,14,491
similarity,bf_0u,0.68627451,0.155419974,0.470634207,0.980346638,500000,7.00E-05,1.21E-05,14,491
non-monotonic_attraction,bf_00',0.68676637,0.007942092,0.673397005,0.699830353,500000,0.02605,2.23E-04,2,66
non-monotonic_attraction,bf_00',0.686877786,0.007829885,0.674205525,0.699898463,500000,0.026752,2.31E-04,2,1196
non-monotonic_repulsion,bf_00',0.687075955,0.008095117,0.673915629,0.70070199,500000,0.026174,2.26E-04,2,2423
attraction,bf_00',0.68710432,0.005325049,0.678538887,0.695824694,500000,0.061676,3.37E-04,5,1643
attraction,bf_0u,0.687432622,0.005038689,0.67925439,0.69576506,500000,0.05994,3.37E-04,2,3572
non-monotonic_attraction,bf_0u,0.687446121,0.00771797,0.675160576,0.700557393,500000,0.025518,2.21E-04,2,2481
similarity,bf_00',0.687486249,0.200772782,0.432864121,1.088158615,500000,4.40E-05,9.45E-06,9,3251
similarity,bf_0u,0.6875,0.200765072,0.432884524,1.088153755,500000,4.40E-05,9.45E-06,9,3251
repulsion,bf_0u,0.687550164,0.004923065,0.679412216,0.695471942,500000,0.059964,3.35E-04,5,1031
repulsion,bf_0u,0.687779778,0.004973306,0.679477509,0.695825354,500000,0.059614,3.37E-04,14,826
non-monotonic_repulsion,bf_u0,0.687788563,0.006225393,0.677858942,0.698448771,500000,0.055014,3.20E-04,2,1562
non-monotonic_attraction,bf_0u,0.688088525,0.007613318,0.675656886,0.700403713,500000,0.025868,2.26E-04,2,53
repulsion,bf_00',0.688602735,0.005351027,0.679790696,0.697130082,500000,0.062086,3.37E-04,14,252
non-monotonic_attraction,bf_00',0.688754192,0.007736049,0.676510148,0.701886512,500000,0.026256,2.24E-04,9,3372
repulsion,bf_00',0.68884805,0.00530382,0.680665528,0.697996706,500000,0.0619,3.47E-04,9,3913
similarity,bf_00',0.688869599,0.168717772,0.469139562,1.020345102,500000,6.20E-05,1.10E-05,9,561
similarity,bf_0u,0.688888889,0.168708844,0.469167493,1.020343688,500000,6.20E-05,1.10E-05,9,561
repulsion,bf_u0,0.689101599,0.003957296,0.682780859,0.695545466,500000,0.126202,4.80E-04,2,1471
attraction,bf_0u,0.689158732,0.00499896,0.6807939,0.697327189,500000,0.059932,3.36E-04,2,3572
non-monotonic_repulsion,bf_00',0.689160775,0.008054327,0.675904047,0.702688855,500000,0.02636,2.26E-04,14,2661
attraction,bf_u0,0.689162819,0.004187043,0.682376131,0.696062789,500000,0.126066,4.70E-04,2,1351
attraction,bf_0u,0.689582715,0.004998874,0.681545348,0.697861808,500000,0.060384,3.30E-04,2,1941
similarity,bf_00',0.689642758,0.22041561,0.428099181,1.151918336,500000,4.00E-05,8.95E-06,5,1351
repulsion,bf_0u,0.689648879,0.004932249,0.681681452,0.697703402,500000,0.060456,3.38E-04,2,3153
similarity,bf_0u,0.689655172,0.2204074,0.428113943,1.151909591,500000,4.00E-05,8.95E-06,5,1351
non-monotonic_attraction,bf_u0,0.689822528,0.006456158,0.679472366,0.700694891,500000,0.05522,3.20E-04,9,2681
repulsion,bf_u0,0.689959036,0.003982953,0.683247805,0.696200676,500000,0.125964,4.66E-04,2,1586
non-monotonic_repulsion,bf_0u,0.69031096,0.007831867,0.677194544,0.702969998,500000,0.026062,2.26E-04,2,1656
non-monotonic_attraction,bf_u0,0.690389204,0.006374067,0.680246352,0.701163752,500000,0.053648,3.18E-04,2,1101
similarity,bf_u0,0.69047619,0.177253389,0.462885726,1.043699353,500000,8.40E-05,1.31E-05,5,891
repulsion,bf_00',0.691433638,0.005195854,0.682827895,0.700006341,500000,0.062096,3.44E-04,14,42
non-monotonic_attraction,bf_00',0.691624342,0.007866299,0.678911325,0.704668535,500000,0.026262,2.26E-04,2,813
non-monotonic_attraction,bf_00',0.691808069,0.008052628,0.678778626,0.705752982,500000,0.026164,2.26E-04,5,1433
repulsion,bf_u0,0.692057882,0.004064927,0.685243537,0.698766939,500000,0.125634,4.71E-04,9,1912
similarity,bf_00',0.692291076,0.188378398,0.449754948,1.050650374,500000,5.40E-05,1.07E-05,5,1722
similarity,bf_u0,0.692307692,0.179842783,0.455457877,1.021499213,500000,7.80E-05,1.26E-05,2,2816
similarity,bf_0u,0.692307692,0.188369386,0.449777818,1.05064638,500000,5.40E-05,1.07E-05,5,1722
repulsion,bf_00',0.692403712,0.00538079,0.683789593,0.701148584,500000,0.061742,3.39E-04,5,3743
attraction,bf_u0,0.692420979,0.004104217,0.685854421,0.699168196,500000,0.126296,4.67E-04,2,1351
repulsion,bf_0u,0.692446991,0.004958599,0.684254945,0.700647509,500000,0.060416,3.36E-04,2,862
attraction,bf_0u,0.692504337,0.004959993,0.684365653,0.7005366,500000,0.06068,3.39E-04,2,2022
non-monotonic_attraction,bf_u0,0.692726938,0.006364951,0.682407165,0.703237402,500000,0.05431,3.20E-04,9,423
attraction,bf_00',0.693040535,0.00542773,0.684251637,0.702090074,500000,0.061826,3.37E-04,2,2132
non-monotonic_attraction,bf_0u,0.69316168,0.007672012,0.681076833,0.70631231,500000,0.026598,2.28E-04,14,123
non-monotonic_repulsion,bf_00',0.69369164,0.007942424,0.681010156,0.706704529,500000,0.026178,2.24E-04,2,436
non-monotonic_attraction,bf_0u,0.693731217,0.007733407,0.681061434,0.706521412,500000,0.026316,2.25E-04,14,1342
attraction,bf_00',0.693862002,0.005379482,0.685148266,0.702677847,500000,0.06205,3.37E-04,2,2132
repulsion,bf_0u,0.693911325,0.00508046,0.685538873,0.702179443,500000,0.06038,3.37E-04,9,1693
repulsion,bf_00',0.694456922,0.005415775,0.685904624,0.703478711,500000,0.06255,3.44E-04,5,2541
repulsion,bf_00',0.694693896,0.005388743,0.685727897,0.703806134,500000,0.062394,3.43E-04,9,3471
repulsion,bf_u0,0.694837488,0.003985048,0.688242669,0.701360734,500000,0.124668,4.61E-04,2,2523
non-monotonic_attraction,bf_0u,0.694926106,0.007789203,0.681790562,0.707725623,500000,0.02605,2.23E-04,2,66
repulsion,bf_u0,0.69495805,0.00406627,0.687935929,0.701423985,500000,0.12515,4.70E-04,9,1286
non-monotonic_attraction,bf_0u,0.695254431,0.007674806,0.682813511,0.707989049,500000,0.026752,2.31E-04,2,1196
non-monotonic_repulsion,bf_0u,0.695266429,0.007937197,0.682369308,0.708626333,500000,0.026174,2.26E-04,2,2423
non-monotonic_repulsion,bf_u0,0.6953125,0.006477163,0.684526677,0.705891661,500000,0.054528,3.31E-04,2,3153
non-monotonic_attraction,bf_00',0.695330186,0.007665194,0.683123359,0.708178043,500000,0.026742,2.31E-04,5,1901
attraction,bf_00',0.695489923,0.005325993,0.686803684,0.704435263,500000,0.062624,3.43E-04,2,3672
non-monotonic_attraction,bf_00',0.695832892,0.007991569,0.68263473,0.709081648,500000,0.026466,2.23E-04,2,102
repulsion,bf_0u,0.696245182,0.005124373,0.68792973,0.704737412,500000,0.060338,3.41E-04,9,273
non-monotonic_repulsion,bf_u0,0.696801519,0.006534363,0.68641311,0.707695257,500000,0.054776,3.17E-04,9,2861
repulsion,bf_00',0.696925487,0.005308043,0.688361668,0.705901453,500000,0.062376,3.42E-04,2,3591
non-monotonic_attraction,bf_0u,0.696926262,0.007583803,0.684897172,0.70980007,500000,0.026256,2.24E-04,9,3372
attraction,bf_0u,0.697071762,0.00496579,0.689065955,0.705234449,500000,0.060846,3.39E-04,5,1751
attraction,bf_u0,0.69708897,0.004123163,0.690250873,0.703768065,500000,0.124492,4.67E-04,2,2196
non-monotonic_repulsion,bf_0u,0.697354497,0.007897769,0.684348241,0.710602642,500000,0.02636,2.26E-04,14,2661
non-monotonic_repulsion,bf_u0,0.697429088,0.006452408,0.68716509,0.708454392,500000,0.054222,3.18E-04,2,352
non-monotonic_attraction,bf_00',0.698147455,0.008312358,0.684333732,0.711605709,500000,0.026376,2.23E-04,9,1196
non-monotonic_repulsion,bf_00',0.698660961,0.007967552,0.685536889,0.711505708,500000,0.027064,2.25E-04,5,3743
non-monotonic_repulsion,bf_00',0.699705678,0.008181061,0.686655961,0.713635233,500000,0.026492,2.29E-04,2,3846
non-monotonic_attraction,bf_0u,0.699722903,0.007712766,0.687233029,0.712485563,500000,0.026262,2.26E-04,2,813
non-monotonic_attraction,bf_0u,0.699871603,0.00789628,0.687127575,0.713525065,500000,0.026164,2.26E-04,5,1433
non-monotonic_attraction,bf_00',0.699877105,0.00792258,0.687102017,0.713405164,500000,0.02661,2.24E-04,5,992
repulsion,bf_0u,0.700192935,0.005051256,0.691863336,0.708565019,500000,0.06097,3.37E-04,5,1746
attraction,bf_u0,0.700281509,0.004182045,0.693614274,0.7072906,500000,0.12433,4.66E-04,2,2196
non-monotonic_repulsion,bf_00',0.700604737,0.008064271,0.687705344,0.714111577,500000,0.026786,2.33E-04,2,2481
non-monotonic_repulsion,bf_u0,0.700943154,0.006551408,0.689973504,0.71167041,500000,0.054498,3.26E-04,2,1941
non-monotonic_attraction,bf_u0,0.701042661,0.006369482,0.690652501,0.711349283,500000,0.054476,3.17E-04,9,2631
non-monotonic_repulsion,bf_u0,0.701118963,0.006366302,0.690697926,0.711842947,500000,0.054336,3.26E-04,2,1493
non-monotonic_attraction,bf_00',0.701449152,0.00802881,0.688205715,0.714607784,500000,0.026882,2.25E-04,5,2933
non-monotonic_repulsion,bf_00',0.701660565,0.008025882,0.688520022,0.714892565,500000,0.026676,2.26E-04,9,3672
non-monotonic_attraction,bf_00',0.701674822,0.007998208,0.688904218,0.715131404,500000,0.026922,2.31E-04,9,93
non-monotonic_repulsion,bf_0u,0.701710181,0.007787,0.689274411,0.714473226,500000,0.026178,2.24E-04,2,436
repulsion,bf_00',0.701741242,0.005477903,0.692830417,0.710788574,500000,0.06303,3.45E-04,5,2803
attraction,bf_0u,0.702119891,0.004914616,0.693984043,0.709956076,500000,0.061538,3.39E-04,2,2022
attraction,bf_00',0.702407514,0.005406442,0.693649016,0.711133985,500000,0.062784,3.45E-04,2,463
repulsion,bf_0u,0.702461517,0.004953549,0.69445168,0.710869225,500000,0.061242,3.44E-04,2,3046
non-monotonic_repulsion,bf_u0,0.702587655,0.006707993,0.691446302,0.713466156,500000,0.053562,3.16E-04,5,916
non-monotonic_attraction,bf_00',0.702946081,0.008087898,0.689906891,0.716390312,500000,0.026702,2.22E-04,9,3291
repulsion,bf_0u,0.703024622,0.004987294,0.694959883,0.711533155,500000,0.061502,3.43E-04,2,1733
non-monotonic_attraction,bf_u0,0.703426443,0.00648779,0.692902291,0.714025924,500000,0.0537,3.17E-04,14,2121
repulsion,bf_00',0.70345803,0.005456729,0.694499501,0.712454831,500000,0.06262,3.41E-04,14,1722
non-monotonic_attraction,bf_0u,0.703477666,0.00751128,0.691535964,0.71603493,500000,0.026742,2.31E-04,5,1901
repulsion,bf_0u,0.70364537,0.004994999,0.695461671,0.711881539,500000,0.061652,3.38E-04,5,1403
attraction,bf_00',0.703783674,0.005237248,0.695334376,0.712384744,500000,0.063552,3.51E-04,2,1251
non-monotonic_attraction,bf_0u,0.703882979,0.007834827,0.690952871,0.716827879,500000,0.026466,2.23E-04,2,102
repulsion,bf_0u,0.704168679,0.0050687,0.695913328,0.712465842,500000,0.06125,3.37E-04,14,1762
repulsion,bf_u0,0.704214634,0.004162909,0.697447818,0.710988799,500000,0.123522,4.57E-04,2,2223
repulsion,bf_00',0.70445835,0.005252073,0.695563848,0.713011064,500000,0.063318,3.41E-04,2,682
repulsion,bf_00',0.704647923,0.005425903,0.69557006,0.713640934,500000,0.06251,3.38E-04,9,2363
similarity,bf_00',0.705868235,0.197696949,0.455517445,1.09855736,500000,4.80E-05,9.72E-06,5,3011
similarity,bf_0u,0.705882353,0.197688468,0.455537771,1.098551485,500000,4.80E-05,9.72E-06,5,3011
similarity,bf_u0,0.705882353,0.19822436,0.455146955,1.078737719,500000,6.80E-05,1.18E-05,5,3051
repulsion,bf_00',0.70599528,0.005309532,0.69729891,0.715049013,500000,0.063196,3.41E-04,9,3252
non-monotonic_attraction,bf_0u,0.706109118,0.008146141,0.692549382,0.719309267,500000,0.026376,2.23E-04,9,1196
repulsion,bf_u0,0.706201123,0.004161502,0.699131484,0.71287675,500000,0.123268,4.69E-04,5,2523
attraction,bf_0u,0.706402474,0.00507911,0.698241523,0.714728752,500000,0.061676,3.37E-04,5,1643
repulsion,bf_00',0.706515128,0.005436174,0.698029735,0.715699833,500000,0.062878,3.42E-04,5,1196
attraction,bf_00',0.706750209,0.00544358,0.697936387,0.715732469,500000,0.063432,3.43E-04,2,3886
non-monotonic_repulsion,bf_0u,0.706816401,0.007805526,0.69401092,0.719379854,500000,0.027064,2.25E-04,5,3743
repulsion,bf_u0,0.706952046,0.004266662,0.700010213,0.713981829,500000,0.12241,4.63E-04,5,2831
non-monotonic_repulsion,bf_00',0.70709456,0.008035096,0.69421829,0.720037571,500000,0.027052,2.30E-04,9,783
attraction,bf_00',0.707339513,0.005407071,0.698552341,0.716021432,500000,0.062774,3.46E-04,2,3672
non-monotonic_repulsion,bf_0u,0.707661075,0.008017279,0.694877502,0.721276263,500000,0.026492,2.29E-04,2,3846
non-monotonic_attraction,bf_0u,0.707863375,0.007762541,0.695295131,0.721124606,500000,0.02661,2.24E-04,5,992
repulsion,bf_0u,0.707936146,0.005101083,0.699498637,0.716089599,500000,0.062086,3.37E-04,14,252
attraction,bf_00',0.708037414,0.005437671,0.698934938,0.716943693,500000,0.062996,3.43E-04,2,1493
attraction,bf_00',0.708061583,0.005363796,0.699233534,0.716738033,500000,0.063326,3.41E-04,2,3886
repulsion,bf_0u,0.708108355,0.005055732,0.70027105,0.716748116,500000,0.0619,3.47E-04,9,3913
non-monotonic_attraction,bf_u0,0.70819997,0.006595786,0.697500261,0.718995792,500000,0.052488,3.15E-04,9,2781
non-monotonic_attraction,bf_00',0.708374815,0.008203436,0.69525633,0.722289933,500000,0.026642,2.27E-04,14,1662
non-monotonic_repulsion,bf_0u,0.708624339,0.007900814,0.696000808,0.721849787,500000,0.026786,2.33E-04,2,2481
non-monotonic_attraction,bf_0u,0.709474795,0.007864474,0.696490458,0.722325934,500000,0.026882,2.25E-04,5,2933
non-monotonic_repulsion,bf_0u,0.709619068,0.007862623,0.696730651,0.722564855,500000,0.026676,2.26E-04,9,3672
similarity,bf_00',0.709664645,0.207148329,0.448234491,1.106837291,500000,4.40E-05,9.61E-06,9,3501
similarity,bf_0u,0.709677419,0.207140083,0.448251669,1.106831485,500000,4.40E-05,9.61E-06,9,3501
non-monotonic_attraction,bf_0u,0.709706332,0.007834665,0.697151577,0.722887055,500000,0.026922,2.31E-04,9,93
non-monotonic_attraction,bf_u0,0.710416432,0.006545496,0.699845007,0.720983481,500000,0.053166,3.14E-04,14,2803
repulsion,bf_0u,0.710594374,0.00495396,0.702412538,0.718813682,500000,0.062096,3.44E-04,14,42
attraction,bf_00',0.710744196,0.005489371,0.701806768,0.719897287,500000,0.06293,3.48E-04,2,1493
non-monotonic_attraction,bf_0u,0.710878015,0.00792258,0.698140938,0.723995476,500000,0.026702,2.22E-04,9,3291
non-monotonic_repulsion,bf_00',0.710893882,0.00810956,0.697635308,0.72406486,500000,0.027128,2.32E-04,9,2926
repulsion,bf_00',0.710926685,0.005453184,0.701907256,0.720162798,500000,0.063168,3.42E-04,5,3756
attraction,bf_u0,0.710980572,0.004189089,0.703832678,0.71765689,500000,0.121888,4.65E-04,2,1196
repulsion,bf_0u,0.711395322,0.005128402,0.703207812,0.719778657,500000,0.061742,3.39E-04,5,3743
attraction,bf_u0,0.711547551,0.004205083,0.704529106,0.718540849,500000,0.12271,4.64E-04,2,2313
attraction,bf_u0,0.711660267,0.004359852,0.704518712,0.718705213,500000,0.121884,4.57E-04,2,1291
non-monotonic_attraction,bf_u0,0.711867616,0.006767267,0.701116816,0.723319687,500000,0.052816,3.15E-04,2,3011
attraction,bf_00',0.711875882,0.005492159,0.702938618,0.720783779,500000,0.06325,3.43E-04,2,463
repulsion,bf_u0,0.711876523,0.004117442,0.70524618,0.718758819,500000,0.1231,4.62E-04,5,3843
attraction,bf_0u,0.712018611,0.005174909,0.703588217,0.720634992,500000,0.061826,3.37E-04,2,2132
repulsion,bf_u0,0.712354616,0.004226374,0.705443554,0.71936952,500000,0.12295,4.56E-04,2,1433
attraction,bf_u0,0.71252389,0.004110153,0.705653307,0.719368955,500000,0.122438,4.63E-04,2,2672
non-monotonic_repulsion,bf_u0,0.712525359,0.006668218,0.701568319,0.723324892,500000,0.053236,3.17E-04,5,3126
attraction,bf_0u,0.712857865,0.005124835,0.70451979,0.721227324,500000,0.06205,3.37E-04,2,2132
non-monotonic_attraction,bf_00',0.713250318,0.008129941,0.699361046,0.726507331,500000,0.02758,0.000228386,14,3886
non-monotonic_repulsion,bf_u0,0.713306421,0.006869421,0.701836917,0.72440605,500000,0.052516,3.10E-04,5,583
repulsion,bf_0u,0.713568642,0.005155525,0.705448841,0.722142676,500000,0.06255,3.44E-04,5,2541
repulsion,bf_0u,0.713743165,0.005132843,0.7052325,0.722437493,500000,0.062394,3.43E-04,9,3471
similarity,bf_00',0.71426857,0.178130091,0.482786202,1.06230631,500000,6.00E-05,1.13E-05,5,3803
similarity,bf_0u,0.714285714,0.178120722,0.482808139,1.062301721,500000,6.00E-05,1.13E-05,5,3803
non-monotonic_repulsion,bf_00',0.714451269,0.00823953,0.700955984,0.7282044,500000,0.027006,2.26E-04,14,1362
attraction,bf_0u,0.714559562,0.005072233,0.706270378,0.723089135,500000,0.062624,3.43E-04,2,3672
repulsion,bf_u0,0.714592554,0.004263103,0.707466713,0.721670992,500000,0.122912,4.62E-04,14,1861
attraction,bf_u0,0.714742075,0.004336581,0.707673977,0.721855484,500000,0.12271,4.63E-04,2,2672
non-monotonic_repulsion,bf_0u,0.715018238,0.00786731,0.702434609,0.727673527,500000,0.027052,2.30E-04,9,783
repulsion,bf_00',0.715139157,0.005463468,0.705865434,0.724126018,500000,0.063908,3.44E-04,5,3921
attraction,bf_u0,0.715145618,0.004242626,0.708472797,0.722225321,500000,0.121276,4.59E-04,2,1196
non-monotonic_attraction,bf_00',0.715283978,0.008141606,0.701883599,0.728468449,500000,0.027462,2.33E-04,5,3211
repulsion,bf_u0,0.715367183,0.004264172,0.7085983,0.722566444,500000,0.121792,4.67E-04,5,3572
attraction,bf_00',0.715676038,0.005349351,0.706772324,0.724527168,500000,0.063828,3.48E-04,2,1251
repulsion,bf_u0,0.715758202,0.004220945,0.708740713,0.722698606,500000,0.121854,4.63E-04,5,2752
